SINGLE PRECISION TESTING
-------------------------------------------------------------------
THRUST::REDUCE: 393216.000000, 0.153696 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 524288 (0.002097 GB)
NO THREAD: 786432.000000, 0.774963 ms
THREAD: 786432.000000, 0.390588 ms
KERNEL 1: 786432.000000, 9.153792 ms
KERNEL 2: 786432.000000, 0.720832 ms
KERNEL 3: 786432.000000, 0.052864 ms
KERNEL 4: 786432.000000, 0.039168 ms
KERNEL 5: 786432.000000, 0.037216 ms
KERNEL 6: 786432.000000, 0.035744 ms
KERNEL 6: 786432.000000, 0.018432 ms
KERNEL 6: 786432.000000, 0.018432 ms
KERNEL 6: 786432.000000, 0.020480 ms
KERNEL 6: 786432.000000, 0.020480 ms
KERNEL 6: 786432.000000, 0.021536 ms
KERNEL 6: 786432.000000, 0.020480 ms
KERNEL 6: 786432.000000, 0.021504 ms
KERNEL 6: 786432.000000, 0.020480 ms
KERNEL 6: 786432.000000, 0.021504 ms
KERNEL 6: 786432.000000, 0.023552 ms
KERNEL 6: 786432.000000, 0.023552 ms
KERNEL 6: 786432.000000, 0.024576 ms
KERNEL 6: 786432.000000, 0.025600 ms
KERNEL 6: 786432.000000, 0.028672 ms
KERNEL 6: 786432.000000, 0.028672 ms
CUB::REDUCE: 786432.000000, 0.007808 ms
THRUST::REDUCE: 786432.000000, 0.073856 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 1048576 (0.004194 GB)
NO THREAD: 1572864.000000, 1.535636 ms
THREAD: 1572864.000000, 1.130273 ms
KERNEL 1: 1572864.000000, 18.341888 ms
KERNEL 2: 1572864.000000, 1.427232 ms
KERNEL 3: 1572864.000000, 0.079936 ms
KERNEL 4: 1572864.000000, 0.053568 ms
KERNEL 5: 1572864.000000, 0.048128 ms
KERNEL 6: 1572864.000000, 0.046528 ms
KERNEL 6: 1572864.000000, 0.028672 ms
KERNEL 6: 1572864.000000, 0.042624 ms
KERNEL 6: 1572864.000000, 0.033792 ms
KERNEL 6: 1572864.000000, 0.034816 ms
KERNEL 6: 1572864.000000, 0.034816 ms
KERNEL 6: 1572864.000000, 0.037888 ms
KERNEL 6: 1572864.000000, 0.036864 ms
KERNEL 6: 1572864.000000, 0.041984 ms
KERNEL 6: 1572864.000000, 0.039936 ms
KERNEL 6: 1572864.000000, 0.043008 ms
KERNEL 6: 1572864.000000, 0.041984 ms
KERNEL 6: 1572864.000000, 0.046080 ms
KERNEL 6: 1572864.000000, 0.047104 ms
KERNEL 6: 1572864.000000, 0.047104 ms
KERNEL 6: 1572864.000000, 0.050208 ms
CUB::REDUCE: 1572864.000000, 0.009312 ms
THRUST::REDUCE: 1572864.000000, 0.080928 ms
-------------------------------------------------------------------



DOUBLE PRECISION TESTING
-------------------------------------------------------------------
Input Size: 2 (0.000000 GB)
NO THREAD: 3.000000, 0.000052 ms
THREAD: 3.000000, 0.262812 ms
KERNEL 1: 3.000000, 0.044032 ms
KERNEL 2: 3.000000, 0.055456 ms
KERNEL 3: 3.000000, 0.050176 ms
KERNEL 4: 3.000000, 0.039712 ms
KERNEL 5: 3.000000, 0.056320 ms
KERNEL 6: 3.000000, 0.046656 ms
KERNEL 6: 3.000000, 0.010240 ms
KERNEL 6: 3.000000, 0.010016 ms
KERNEL 6: 3.000000, 0.010784 ms
KERNEL 6: 3.000000, 0.010240 ms
KERNEL 6: 3.000000, 0.009216 ms
KERNEL 6: 3.000000, 0.010240 ms
KERNEL 6: 3.000000, 0.010240 ms
KERNEL 6: 3.000000, 0.010112 ms
KERNEL 6: 3.000000, 0.010080 ms
KERNEL 6: 3.000000, 0.010880 ms
KERNEL 6: 3.000000, 0.010944 ms
KERNEL 6: 3.000000, 0.010240 ms
KERNEL 6: 3.000000, 0.010240 ms
KERNEL 6: 3.000000, 0.010816 ms
KERNEL 6: 3.000000, 0.011264 ms
CUB::REDUCE: 3.000000, 0.066336 ms
THRUST::REDUCE: 3.000000, 0.130048 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 4 (0.000000 GB)
NO THREAD: 6.000000, 0.000070 ms
THREAD: 6.000000, 0.267081 ms
KERNEL 1: 6.000000, 0.015360 ms
KERNEL 2: 6.000000, 0.017568 ms
KERNEL 3: 6.000000, 0.010240 ms
KERNEL 4: 6.000000, 0.010240 ms
KERNEL 5: 6.000000, 0.009920 ms
KERNEL 6: 6.000000, 0.009376 ms
KERNEL 6: 6.000000, 0.010176 ms
KERNEL 6: 6.000000, 0.010112 ms
KERNEL 6: 6.000000, 0.009408 ms
KERNEL 6: 6.000000, 0.009824 ms
KERNEL 6: 6.000000, 0.010016 ms
KERNEL 6: 6.000000, 0.010112 ms
KERNEL 6: 6.000000, 0.009472 ms
KERNEL 6: 6.000000, 0.010176 ms
